Iteration,Phase3_ArterialPrecision,Phase3_PortalPrecision,Phase3_PreContrastPrecision,Phase3_ArterialRecall,Phase3_PortalRecall,Phase3_PreContrastRecall,Phase3_ArterialF1,Phase3_PortalF1,Phase3_PreContrastF1
199,0.666666666666667,0,0.944444444444444,0.4,0,1,0.5,0,0.971428571428571
200,0.875,0,0.967213114754098,0.777777777777778,0,1,0.823529411764706,0,0.983333333333333
201,1,0.647058823529412,0.991452991452991,0.142857142857143,0.916666666666667,1,0.25,0.758620689655172,0.995708154506438
202,0,0.620689655172414,1,0,1,0.991228070175439,0,0.765957446808511,0.995594713656388
203,1,0.727272727272727,0.992,0.4,0.888888888888889,1,0.571428571428572,0.8,0.995983935742972
204,1,0.6,0.990909090909091,0.333333333333333,0.857142857142857,1,0.5,0.705882352941176,0.995433789954338
205,0.75,0,0.946153846153846,0.428571428571429,0,1,0.545454545454545,0,0.972332015810277
206,1,0,0.96,0.5,0,1,0.666666666666667,0,0.979591836734694
207,1,0,0.933333333333333,0.5,0,1,0.666666666666667,0,0.96551724137931
208,0,0.55,1,0,1,1,0,0.709677419354839,1
209,0,0.470588235294118,1,0,1,1,0,0.64,1
210,0,0.347826086956522,0.991525423728814,0,0.888888888888889,0.975,0,0.5,0.983193277310924
211,1,0,0.959016393442623,0.285714285714286,0,1,0.444444444444444,0,0.97907949790795
212,1,0,0.948275862068966,0.5,0,1,0.666666666666667,0,0.973451327433628
213,1,0,0.976744186046512,0.666666666666667,0,1,0.8,0,0.988235294117647
214,1,0,0.966386554621849,0.666666666666667,0,1,0.8,0,0.982905982905983
215,1,0,0.941666666666667,0.5,0,1,0.666666666666667,0,0.969957081545064
216,1,0,0.959677419354839,0.571428571428571,0,1,0.727272727272727,0,0.979423868312757
217,0.666666666666667,0.727272727272727,0.966386554621849,0.4,0.615384615384615,1,0.5,0.666666666666667,0.982905982905983
218,0.857142857142857,0,0.982456140350877,1,0,1,0.923076923076923,0,0.991150442477876
219,0.8,0,0.991735537190083,1,0,1,0.888888888888889,0,0.995850622406639
220,1,0.666666666666667,1,0.428571428571429,1,1,0.6,0.8,1
221,0,0.5,0.990990990990991,0,0.916666666666667,1,0,0.647058823529412,0.995475113122172
222,1,0,0.9609375,0.666666666666667,0,1,0.8,0,0.9800796812749
223,1,0,0.966386554621849,0.571428571428571,0,1,0.727272727272727,0,0.982905982905983
224,0.857142857142857,0,0.957627118644068,0.75,0,1,0.8,0,0.978354978354978
225,0,0.823529411764706,0.991071428571429,0,0.933333333333333,1,0,0.875,0.995515695067265
226,1,0.588235294117647,0.984848484848485,0.125,0.833333333333333,1,0.222222222222222,0.689655172413793,0.99236641221374
227,0,0,0.918032786885246,0,0,1,0,0,0.957264957264957
228,0,0.631578947368421,0.991071428571429,0,0.923076923076923,0.991071428571429,0,0.75,0.991071428571429
229,1,0.666666666666667,0.972972972972973,0.166666666666667,0.769230769230769,1,0.285714285714286,0.714285714285714,0.986301369863014
230,0.75,0.666666666666667,0.974789915966387,0.5,0.6,1,0.6,0.631578947368421,0.987234042553191
231,0.833333333333333,0,0.958677685950413,0.833333333333333,0,1,0.833333333333333,0,0.978902953586498
232,0.833333333333333,0,0.964028776978417,0.714285714285714,0,1,0.769230769230769,0,0.981684981684982
233,1,0.785714285714286,1,0.25,1,1,0.4,0.88,1
234,0.833333333333333,0,0.975409836065574,1,0,1,0.909090909090909,0,0.987551867219917
235,0.75,0,0.975206611570248,0.6,0,1,0.666666666666667,0,0.98744769874477
236,1,0.6,0.975806451612903,0.75,0.5,1,0.857142857142857,0.545454545454545,0.987755102040816
237,0,0.375,0.982758620689655,0,0.75,1,0,0.5,0.991304347826087
238,0.666666666666667,0.75,0.990476190476191,0.5,0.75,1,0.571428571428572,0.75,0.995215311004785
239,1,0,0.909090909090909,0.5,0,1,0.666666666666667,0,0.952380952380952
240,1,0.714285714285714,0.991379310344828,0.2,0.909090909090909,1,0.333333333333333,0.8,0.995670995670996
241,1,0.7,0.991304347826087,0.4,0.875,1,0.571428571428572,0.777777777777778,0.995633187772926
242,0.666666666666667,1,0.991452991452991,1,0.555555555555556,1,0.8,0.714285714285714,0.995708154506438
243,0,0.636363636363636,0.991071428571429,0,0.933333333333333,1,0,0.756756756756757,0.995515695067265
244,0.833333333333333,0,0.962962962962963,0.714285714285714,0,1,0.769230769230769,0,0.981132075471698
245,1,0.588235294117647,0.991071428571429,0.125,0.909090909090909,1,0.222222222222222,0.714285714285714,0.995515695067265
246,0.666666666666667,0,0.985294117647059,0.666666666666667,0,1,0.666666666666667,0,0.992592592592593
247,0.5,0,0.941666666666667,0.2,0,1,0.285714285714286,0,0.969957081545064
248,1,0,0.911290322580645,0.375,0,1,0.545454545454545,0,0.953586497890295
249,1,0.769230769230769,0.991666666666667,0.4,0.909090909090909,1,0.571428571428572,0.833333333333333,0.99581589958159
250,1,0,0.963636363636364,0.666666666666667,0,1,0.8,0,0.981481481481482
251,0.666666666666667,0,0.962406015037594,0.666666666666667,0,1,0.666666666666667,0,0.980842911877395
252,1,0.571428571428571,0.982142857142857,0.142857142857143,0.8,1,0.25,0.666666666666667,0.990990990990991
253,0,0.5,0.991525423728814,0,0.888888888888889,1,0,0.64,0.995744680851064
254,0.75,0,0.973214285714286,0.6,0,1,0.666666666666667,0,0.986425339366516
