Iteration,Accuracy,MacroPrecision,MacroRecall,MacroF1,ArterialPrecision,PortalVenousPrecision,PreContrastPrecision,ArterialRecall,PortalVenousRecall,PreContrastRecall,ArterialF1,PortalVenousF1,PreContrastF1,WeightedPrecision,WeightedRecall,WeightedF1,BalancedAccuracy,CohensKappa,Phase1_Count,Phase1_Accuracy,Phase2_Count,Phase2_Accuracy,Phase3_Count,Phase3_Accuracy,AortaMultiplier,PortalVeinMultiplier,AortaCutoff,PortalVeinCutoff,BoundaryHits,TrainArterial,TrainPortalVenous,TrainPreContrast,TestArterial,TestPortalVenous,TestPreContrast
21,0.960655737704918,0.959285159285159,0.951751652701166,0.955503557058518,0.938461538461538,0.939393939393939,1,0.897058823529412,0.976377952755906,0.981818181818182,0.917293233082707,0.957528957528958,0.990825688073394,0.961043983339065,0.960655737704918,0.96056702670123,0.951751652701166,0.938960324210737,58,0.982758620689655,135,0.933333333333333,112,0.982142857142857,0.98,0.03,157.06,86.4625,0,334,534,558,136,254,220
22,0.99016393442623,0.9921875,0.984126984126984,0.988140804417393,1,0.9765625,1,0.952380952380952,1,1,0.975609756097561,0.988142292490119,1,0.990394467213115,0.99016393442623,0.990102299001348,0.984126984126984,0.984636308684264,52,1,115,0.991304347826087,138,0.985507246376812,0.88,0.19,156.82,100.285,0,344,538,544,126,250,234
23,0.957377049180328,0.957225585680442,0.946839874700571,0.95200440579862,0.96551724137931,0.913793103448276,0.99236641221374,0.888888888888889,0.981481481481482,0.970149253731343,0.925619834710744,0.946428571428571,0.981132075471698,0.958997838085087,0.957377049180328,0.957377158735312,0.946839874700571,0.933124188297998,46,0.978260869565217,110,0.945454545454545,149,0.959731543624161,0.96,0.0800000000000001,157.64,94.2,0,344,572,510,126,216,268
24,0.960655737704918,0.967413034786086,0.949459527400704,0.9583522044485,1,0.926829268292683,0.975409836065574,0.882352941176471,0.974358974358974,0.991666666666667,0.9375,0.95,0.983471074380165,0.962256408911845,0.960655737704918,0.960382062051213,0.949459527400704,0.938912441165671,54,1,113,0.964601769911504,138,0.942028985507246,0.84,0.18,157.41,97.46,0,334,554,538,136,234,240
25,0.963934426229508,0.964536048564724,0.955730108622976,0.960112887492224,0.970149253731343,0.954954954954955,0.968503937007874,0.902777777777778,0.972477064220184,0.991935483870968,0.935251798561151,0.963636363636364,0.980079681274901,0.964050244418764,0.963934426229508,0.963620897084768,0.955730108622976,0.94441130662425,54,1,117,0.957264957264957,134,0.955223880597015,0.85,-0.12,166.275,86.18,0,326,570,530,144,218,248
26,0.973770491803279,0.974986888917237,0.968606701940035,0.971786323387039,0.985074626865672,0.962962962962963,0.976923076923077,0.942857142857143,0.962962962962963,1,0.963503649635036,0.962962962962963,0.988326848249027,0.973850670983042,0.973770491803279,0.97364841049862,0.968606701940035,0.959442163527867,53,1,108,0.962962962962963,144,0.972222222222222,0.92,0.0700000000000001,166.57,94.43,0,330,572,524,140,216,254
27,0.970491803278689,0.97293182944859,0.966094322344322,0.969501020488292,0.983870967741935,0.961240310077519,0.973684210526316,0.938461538461538,0.96875,0.991071428571429,0.960629921259843,0.964980544747082,0.982300884955752,0.970632800564248,0.970491803278688,0.970413618769051,0.966094322344322,0.954031650339111,51,1,136,0.963235294117647,118,0.966101694915254,0.98,-0.0900000000000001,157.2,86.27,0,340,532,554,130,256,224
28,0.963934426229508,0.967605497483546,0.957820666339846,0.962688219124873,0.985714285714286,0.934959349593496,0.982142857142857,0.907894736842105,0.974576271186441,0.990990990990991,0.945205479452055,0.954356846473029,0.986547085201794,0.96477818396451,0.963934426229508,0.963791641900238,0.957820666339846,0.944781843019141,58,1,130,0.938461538461538,117,0.974358974358974,1.05,0.01,157.8,86.4875,0,318,552,556,152,236,222
29,0.970491803278689,0.967800160697888,0.968000005741583,0.967900072904094,0.953125,0.983333333333333,0.966942148760331,0.953125,0.959349593495935,0.991525423728814,0.953125,0.97119341563786,0.97907949790795,0.97065302804498,0.970491803278689,0.970453019267524,0.968000005741583,0.954166736237498,52,0.980769230769231,129,0.984496124031008,124,0.951612903225806,0.91,-0.15,157.62,86.2375,0,342,542,542,128,246,236
30,0.963934426229508,0.963601063210036,0.953907795916532,0.958729929173005,0.968253968253968,0.938053097345133,0.984496124031008,0.897058823529412,0.972477064220184,0.9921875,0.931297709923664,0.954954954954955,0.988326848249027,0.964277250255273,0.963934426229508,0.963685806363196,0.953907795916532,0.944001201762585,55,0.981818181818182,116,0.931034482758621,134,0.985074626865672,0.85,0.01,166.85,86.475,0,334,570,522,136,218,256
